geography_level,msa,msa_code,msa_mapping_method,msa_mapping_status,docs/zip_to_msa.doc,source_economic_file,source_geoid_file,year,month,day_endofweek,cityid,merchants_all,revenue_all,week_end_sunday,week_start_monday,countyfips,countyfips_str,cityname,stateabbrev,statename,statefips,lat,lon,city_pop2019,statefips_str,countyname,cz,czname,county_pop2019,has_game,game_count,completed_game_count,playoff_game_count,neutral_site_game_count,attendance_sum,mlb_game_count,nba_game_count,nfl_game_count,nhl_game_count,joined_game_ids,join_key_cityid,join_key_week_start_monday,join_level,join_warning,event_msa,event_msa_code,event_msa_block_id,event_msa_block_compact_id,event_msa_region,event_msa_pop_size_bin,event_msa_urban_rural,event_msa_recommended_for_matching,block_join_warning
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,1,0.0131,-0.0108,2020-01-12,2020-01-06,,,Los Angeles,CA,California,6,34.05,-118.24,10039107,06,,,,,1,5,5,0,0,57062.0,0,3,0,2,NBA:401161180|NHL:2019020662|NBA:401161195|NHL:2019020677|NBA:401161218,1,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Los Angeles-Long Beach-Anaheim, CA",31080,west|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,west,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,2,0.0192,0.0266,2020-01-12,2020-01-06,,,New York City,NY,New York,36,40.71,-74.01,8336817,36,,,,,1,10,10,0,0,83753.0,0,5,0,5,NHL:2019020661|NBA:401161192|NHL:2019020665|NHL:2019020666|NHL:2019020682|NBA:401161210|NBA:401161211|NBA:401161226|NBA:401161228|NHL:2019020694,2,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"New York-Newark-Jersey City, NY-NJ",35620,northeast|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,northeast,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,3,0.0086,-0.0696,2020-01-12,2020-01-06,,,Chicago,IL,Illinois,17,41.88,-87.63,5150233,17,,,,,1,5,5,0,0,20229.0,0,1,0,4,NHL:2019020657|NHL:2019020672|NHL:2019020684|NBA:401161212|NHL:2019020699,3,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Chicago-Naperville-Elgin, IL-IN",16980,midwest|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,midwest,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,4,0.0222,-0.0246,2020-01-12,2020-01-06,,,Houston,TX,Texas,48,29.76,-95.37,4713325,48,,,,,1,1,1,0,0,18055.0,0,1,0,0,NBA:401161219,4,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Houston-Pasadena-The Woodlands, TX",26420,south|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,south,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,5,-0.00288,0.00356,2020-01-12,2020-01-06,,,Phoenix,AZ,Arizona,4,33.45,-112.07,4485414,04,,,,,1,3,3,0,0,42877.0,0,3,0,0,NBA:401161179|NBA:401161194|NBA:401161215,5,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Phoenix-Mesa-Chandler, AZ",38060,west|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,west,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,6,0.0053,-0.00644,2020-01-12,2020-01-06,,,San Diego,CA,California,6,32.72,-117.16,3338330,06,,,,,0,0,0,0,0,0.0,0,0,0,0,,6,2020-01-06,city_week,no_matching_city_week_game,"San Diego-Chula Vista-Carlsbad, CA",41740,west|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,west,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,7,0.00936,-0.00638,2020-01-12,2020-01-06,,,Dallas,TX,Texas,48,32.78,-96.8,2635516,48,,,,,1,4,4,0,0,81338.0,0,4,0,0,NBA:401161187|NBA:401161201|NBA:401161214|NBA:401161223,7,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Dallas-Fort Worth-Arlington, TX",19100,south|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,south,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,8,0.0129,-0.0334,2020-01-12,2020-01-06,,,Las Vegas,NV,Nevada,32,36.17,-115.14,2266715,32,,,,,1,3,3,0,0,0.0,0,0,0,3,NHL:2019020673|NHL:2019020686|NHL:2019020701,8,2020-01-06,city_week,city_week_join_with_msa_block_context_not_causal_identification,"Las Vegas-Henderson-North Las Vegas, NV",29820,west|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,west,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,9,0.0206,0.0254,2020-01-12,2020-01-06,,,Seattle,WA,Washington,53,47.61,-122.33,2252782,53,,,,,0,0,0,0,0,0.0,0,0,0,0,,9,2020-01-06,city_week,no_matching_city_week_game,"Seattle-Tacoma-Bellevue, WA",42660,west|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,west,mega,large_metro_proxy,,
city,,,not_mapped_city_requires_county_bridge,not_mapped,docs/zip_to_msa.doc,data/processed/economic/womply_city_weekly.csv,data/processed/economic/geoid_city.csv,2020,1,12,10,0.0109,0.00215,2020-01-12,2020-01-06,,,Fort Worth,TX,Texas,48,32.76,-97.33,2102515,48,,,,,0,0,0,0,0,0.0,0,0,0,0,,10,2020-01-06,city_week,no_matching_city_week_game,"Dallas-Fort Worth-Arlington, TX",19100,south|mega|large_metro_proxy|economic_unknown|svi_unknown,mega|large_metro_proxy|service_unknown|svi_unknown,south,mega,large_metro_proxy,,
